Timestamp,You are a:,How often do you use transit?,Why do you use transit?,What do you use transit to get to? ,Which route do you use most?,Which route do you use second-most?,Which route do you use third-most?,Where do you live?,Vancouver residents — which neighbourhood?,Where do you usually take the bus to?,How crowded is your most-used route?,How crowded is your second-most-used route?,How crowded is your third-most-used route?,How often is your bus late?,How often does a full bus skip your stop?,When do you usually catch the bus?,How satisfied are you with Vancouver transit?,How do you think your route could be improved?
1/26/2017 14:07:56,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Can't drive ","School, Work",Evergreen Line,99,Millennium Line,Coquitlam,,UBC,10,10,10,4,1,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 12 p.m.-2 p.m., 4 p.m.-6 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:08:45,UBC student,Twice per day,Convenience,School,14,9,99,City of Vancouver,Point Grey,UBC,10,10,10,4,9,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 14:08:55,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,Canada Line,14,City of Vancouver,UBC,City of Vancouver (outside UBC),7,5,5,5,3,8 a.m.-10 a.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:09:36,UBC student,Twice per day,"Convenience, We only have 1 car, so I transit and my partner drives","School, Work, Recreation/other",84,4,Canada Line,City of Vancouver,Kitsilano,UBC,8,6,7,5,3,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:09:40,UBC student,Twice per day,Convenience,School,41,C18,C20,City of Vancouver,UBC,UBC,6,1,1,1,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m.",3,More busses
1/26/2017 14:09:49,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",84,99,C20,City of Vancouver,UBC,City of Vancouver (outside UBC),2,6,5,2,2,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m.",4,prettier bus insides; getting rid of those horrible fabric seats on some of the 99 buses
1/26/2017 14:09:52,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, I can't drive",Recreation/other,99,Canada Line,4,City of Vancouver,UBC,City of Vancouver (outside UBC),5,5,7,5,2,"4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m.",5,"More busses, A new Skytrain/LRT line"
1/26/2017 14:10:01,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",99,14,20,City of Vancouver,Kitsilano,UBC,9,7,6,5,3,8 a.m.-10 a.m.,2,A new Skytrain/LRT line
1/26/2017 14:10:25,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",14,99,9,City of Vancouver,Kitsilano,UBC,4,7,4,5,4,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",3,More busses
1/26/2017 14:10:27,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",4,99,33,City of Vancouver,UBC,City of Vancouver (outside UBC),9,9,9,3,5,4 p.m.-6 p.m.,4,More busses
1/26/2017 14:10:35,UBC student,Multiple times per day,Convenience,School,41,C18,49,City of Vancouver,UBC,UBC,10,9,9,7,9,8 a.m.-10 a.m.,3,More busses
1/26/2017 14:10:59,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",School,Canada Line,9,4,City of Vancouver,UBC,Elsewhere in the Lower Mainland,9,9,9,3,3,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",5,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:11:04,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,Millennium Line,14,,City of Vancouver,UBC,City of Vancouver (outside UBC),7,6,4,5,2,"4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:11:06,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",33,43,19,City of Vancouver,Killarney,UBC,2,5,4,4,1,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m.",4,"More busses, Better drivers"
1/26/2017 14:11:11,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,49,99,41,Burnaby,,UBC,9,7,7,10,8,10 a.m.-12 p.m.,2,More busses
1/26/2017 14:11:15,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,41,C18,C20,City of Vancouver,UBC,UBC,10,10,10,9,9,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 10 a.m.-12 p.m.",3,More busses
1/26/2017 14:11:35,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",41,49,7,City of Vancouver,Dunbar,North or West Vancouver,8,9,5,10,8,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 8 p.m.-10 p.m.",4,improved schedules
1/26/2017 14:12:43,UBC student,Once per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,99,4,14,City of Vancouver,UBC,City of Vancouver (outside UBC),8,8,8,10,5,6 p.m.-8 p.m.,3,More busses
1/26/2017 14:12:48,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",99,41,43,City of Vancouver,UBC,City of Vancouver (outside UBC),6,8,6,4,2,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:13:05,UBC student,Once per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,14,99,44,North or West Vancouver,UBC,City of Vancouver (outside UBC),7,7,7,7,1,"2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,It's perfect as is
1/26/2017 14:13:09,UBC faculty/staff member,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",44,Canada Line,99,City of Vancouver,West End,UBC,8,8,8,7,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 14:13:25,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",25,Canada Line,2,City of Vancouver,Dunbar,UBC,9,5,7,3,6,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",3,More busses
1/26/2017 14:14:00,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Canada Line,49,99,Richmond,,UBC,9,9,8,5,2,6 a.m.-8 a.m.,3,"More busses, Better drivers"
1/26/2017 14:14:36,UBC student,A few times per week,"Convenience, No driver's license","Work, Recreation/other",14,4,99,City of Vancouver,UBC,City of Vancouver (outside UBC),5,5,7,7,4,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:14:38,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, I can't drive ",Recreation/other,99,14,25,City of Vancouver,UBC,City of Vancouver (outside UBC),5,3,2,8,1,"10 a.m.-12 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",3,"More busses, A new Skytrain/LRT line, Wi-fi would be nice but it's not as important as some of the above options. "
1/26/2017 14:14:44,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, lack of and expense of parking","School, Recreation/other",44,4,14,North or West Vancouver,,UBC,8,9,8,7,6,"6 a.m.-8 a.m., 2 p.m.-4 p.m.",3,"More busses, A new Skytrain/LRT line, increased frequency of the busses"
1/26/2017 14:14:46,UBC student,Once per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,4,99,Canada Line,City of Vancouver,UBC,Richmond,8,10,8,6,3,4 p.m.-6 p.m.,3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:14:56,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,14,4,Seabus,City of Vancouver,UBC,City of Vancouver (outside UBC),6,6,1,8,1,"2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,"More busses, More reliability (busses come on time) "
1/26/2017 14:15:06,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, Environment and social factors ","School, Work, Recreation/other",17,99,Canada Line,City of Vancouver,South Cambie,City of Vancouver (outside UBC),4,7,6,7,4,"8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., After 10 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:15:28,Vancouver resident (non-student),Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Work,7,14,41,City of Vancouver,Dunbar,City of Vancouver (outside UBC),7,7,9,8,3,8 a.m.-10 a.m.,3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:15:52,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","Work, Recreation/other",4,14,99,City of Vancouver,UBC,City of Vancouver (outside UBC),8,8,7,7,10,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",3,"More busses, Better drivers"
1/26/2017 14:15:59,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",99,Canada Line,33,City of Vancouver,Fairview,UBC,8,6,5,4,2,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:16:45,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,14,4,99,City of Vancouver,UBC,City of Vancouver (outside UBC),3,3,3,1,1,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,It's perfect as is
1/26/2017 14:16:47,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,14,99,C20,City of Vancouver,UBC,City of Vancouver (outside UBC),6,7,1,7,4,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:16:54,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",Canada Line,49,41,Richmond,,UBC,8,8,8,7,5,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,"More busses, Better drivers, More consistency, since things are constantly changing with little to no input or announcement"
1/26/2017 14:17:08,UBC student,Once per month,Convenience,Recreation/other,99,4,14,City of Vancouver,UBC,City of Vancouver (outside UBC),9,6,6,2,1,After 10 p.m.,4,A new Skytrain/LRT line
1/26/2017 14:17:44,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",Expo Line,99,Millennium Line,Burnaby,,UBC,7,9,8,7,1,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 2 p.m.-4 p.m.",1,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:17:53,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",25,Canada Line,99,City of Vancouver,Riley Park,UBC,5,6,7,3,1,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:18:13,UBC faculty/staff member,A few times per month,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Work,Canada Line,49,41,Richmond,,UBC,4,4,8,6,3,"8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:19:09,Vancouver resident (non-student),Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, No driver's license","Work, Recreation/other",Canada Line,14,16,City of Vancouver,Downtown,City of Vancouver (outside UBC),5,3,3,5,2,"8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:20:07,UBC student,Once per month,"Occasionally, I go on walks and walk too far.",Recreation/other,Canada Line,16,43,City of Vancouver,Kerrisdale,City of Vancouver (outside UBC),8,2,6,5,1,8 p.m.-10 p.m.,3,A new Skytrain/LRT line
1/26/2017 14:20:33,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",44,2,41,City of Vancouver,West End,UBC,7,4,7,10,2,6 a.m.-8 a.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:21:07,UBC student,A few times per month,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,14,99,C18,City of Vancouver,UBC,City of Vancouver (outside UBC),7,10,6,6,7,"6 p.m.-8 p.m., 8 p.m.-10 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:21:26,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Canada Line,99,25,Richmond,,UBC,10,10,9,10,5,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., After 10 p.m.",1,"More busses, A new Skytrain/LRT line, Night buses "
1/26/2017 14:21:50,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,Expo Line,99,,Surrey/Delta/Langley,,UBC,8,9,,1,1,6 a.m.-8 a.m.,3,A new Skytrain/LRT line
1/26/2017 14:22:19,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,Expo Line,99,,Surrey/Delta/Langley,,Surrey/Delta/Langley,7,7,,4,3,"6 a.m.-8 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:22:21,UBC student,Multiple times per day,Convenience,"School, Work, Recreation/other",Canada Line,49,43,Surrey/Delta/Langley,,UBC,8,6,6,4,1,10 a.m.-12 p.m.,5,More busses
1/26/2017 14:23:30,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",School,49,41,Canada Line,City of Vancouver,Kerrisdale,UBC,8,9,4,6,5,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m.",3,More busses
1/26/2017 14:24:00,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",41,49,99,City of Vancouver,Sunset,UBC,6,8,8,6,3,"8 a.m.-10 a.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:24:04,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,4,,,City of Vancouver,UBC,City of Vancouver (outside UBC),4,,,1,1,2 p.m.-4 p.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:24:13,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Canada Line,49,41,Richmond,,Richmond,9,9,9,8,6,8 a.m.-10 a.m.,4,More busses
1/26/2017 14:24:29,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",33,17,Canada Line,City of Vancouver,Fairview,UBC,7,6,5,9,3,"8 a.m.-10 a.m., 10 a.m.-12 p.m.",3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:24:41,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","Work, Recreation/other",99,14,Canada Line,City of Vancouver,UBC,City of Vancouver (outside UBC),8,7,6,7,4,"6 a.m.-8 a.m., 2 p.m.-4 p.m., 6 p.m.-8 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 14:25:36,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",Expo Line,99,99,Surrey/Delta/Langley,,UBC,10,10,10,6,6,"8 a.m.-10 a.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 14:25:50,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",84,99,44,City of Vancouver,Point Grey,UBC,5,3,5,3,4,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:26:21,UBC student,Multiple times per day,Convenience,"School, Work, Recreation/other",41,25,99,City of Vancouver,UBC,UBC,10,8,6,6,3,10 a.m.-12 p.m.,4,More busses
1/26/2017 14:26:44,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,14,4,City of Vancouver,UBC,City of Vancouver (outside UBC),3,4,4,6,1,2 p.m.-4 p.m.,4,More busses
1/26/2017 14:26:45,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",44,84,99,City of Vancouver,Kitsilano,City of Vancouver (outside UBC),7,7,9,9,1,8 a.m.-10 a.m.,3,More busses
1/26/2017 14:27:50,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",Expo Line,99,44,Surrey/Delta/Langley,,UBC,4,4,3,2,1,10 a.m.-12 p.m.,3,"More busses, Better drivers"
1/26/2017 14:28:15,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Canada Line,49,41,Richmond,,Richmond,8,8,8,5,3,"6 a.m.-8 a.m., 6 p.m.-8 p.m.",1,"More busses, A new Skytrain/LRT line, Improved roads, cheaper parking at UBC, ride sharing app for students to get to school"
1/26/2017 14:28:50,UBC student,Once per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,C18,C20,City of Vancouver,UBC,Elsewhere in the Lower Mainland,8,2,2,4,2,"4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",2,"More busses, A new Skytrain/LRT line, More roadways/larger capacity"
1/26/2017 14:29:33,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,49,Expo Line,99,City of Vancouver,Kerrisdale,UBC,8,8,8,6,5,6 a.m.-8 a.m.,2,"More busses, A new Skytrain/LRT line"
1/26/2017 14:30:12,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work",84,99,Canada Line,City of Vancouver,Mount Pleasant,UBC,10,9,7,9,10,8 a.m.-10 a.m.,1,"More busses, A new Skytrain/LRT line, fixing the texting system to refer accurate times. countless times the system is wrong, busses show up early and I miss my bus. "
1/26/2017 14:31:15,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",Millennium Line,Evergreen Line,Canada Line,City of Vancouver,Point Grey,UBC,6,4,9,7,4,12 p.m.-2 p.m.,3,A new Skytrain/LRT line
1/26/2017 14:31:55,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","Work, Recreation/other",14,4,99,City of Vancouver,UBC,City of Vancouver (outside UBC),5,5,7,7,3,"4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:33:04,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, Environment","School, Work, Recreation/other",4,2,25,City of Vancouver,Kitsilano,UBC,5,2,9,8,6,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",4,A new Skytrain/LRT line
1/26/2017 14:34:19,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,49,99,Expo Line,Surrey/Delta/Langley,,UBC,4,8,9,6,5,10 a.m.-12 p.m.,2,More busses
1/26/2017 14:34:27,UBC student,A few times per week,Convenience,Recreation/other,14,Canada Line,4,City of Vancouver,UBC,City of Vancouver (outside UBC),8,6,9,10,5,"10 a.m.-12 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 14:35:20,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, Environment","School, Work, Recreation/other",44,2,Expo Line,City of Vancouver,West End,UBC,8,3,6,8,8,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 8 p.m.-10 p.m., After 10 p.m.",2,"More busses, A new Skytrain/LRT line, Fewer drivers"
1/26/2017 14:35:51,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",99,Expo Line,43,City of Vancouver,UBC,City of Vancouver (outside UBC),1,6,3,1,1,"Before 6 a.m., 8 a.m.-10 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,More busses
1/26/2017 14:35:58,UBC student,A few times per week,I have a UPass so why not,"School, Work, Recreation/other",25,99,C18,City of Vancouver,UBC,City of Vancouver (outside UBC),8,9,5,7,9,8 a.m.-10 a.m.,3,More busses
1/26/2017 14:36:14,UBC student,Multiple times per day,Convenience,"School, Work, Recreation/other",25,22,84,City of Vancouver,Arbutus,UBC,8,3,7,5,3,"8 a.m.-10 a.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",1,"More busses, A new Skytrain/LRT line"
1/26/2017 14:37:48,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,4,14,City of Vancouver,UBC,Downtown,4,8,9,4,2,12 p.m.-2 p.m.,2,"A new Skytrain/LRT line, Train station near UBC Campus"
1/26/2017 14:37:51,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,25,99,Millennium Line,City of Vancouver,Kensington-Cedar Cottage,UBC,7,10,5,2,2,"6 a.m.-8 a.m., 8 a.m.-10 a.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 14:38:14,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",84,44,99,North or West Vancouver,,UBC,7,7,7,5,2,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
